SHEET NUMBER,SHEET NAME,DISCIPLINE NAME LOOKUP,DESIGNATOR,SHEET TYPE,SEPARATOR,SHEET TYPE LOOKUP,SHEET NAME MODIFIER,LEVEL,SEPARATOR2,SEQUENCE NUMBER,Designator Code,
S5-02,DETAILS - X BRACING DETAILS,STRUCTURAL,S,5,-,DETAILS,DETAILS - X BRACING DETAILS,,0,2,75,
M0-01,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS",MECHANICAL,M,0,-,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS",,,0,1,140,
M1-101,MECHANICAL PLAN - FLOOR,MECHANICAL,M,1,-,PLANS,MECHANICAL PLAN - FLOOR,1,0,1,141,
M1-102,MECHANICAL PLAN - ROOF,MECHANICAL,M,1,-,PLANS,MECHANICAL PLAN - ROOF,1,0,2,141,
M5-01,DETAILS - MECHANICAL,MECHANICAL,M,5,-,DETAILS,DETAILS - MECHANICAL,,0,1,145,
M5-02,DETAILS - MECHANICAL,MECHANICAL,M,5,-,DETAILS,DETAILS - MECHANICAL,,0,2,145,
M6-01,SCHEDULES - MECHANICAL,MECHANICAL,M,6,-,SCHEDULES AND DIAGRAMS,SCHEDULES - MECHANICAL,,0,1,146,
P0-01,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS",PLUMBING,P,0,-,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS",,,0,1,120,
P1-101,PLUMBING PLAN - DOMESTIC WATER - FLOOR,PLUMBING,P,1,-,PLANS,PLUMBING PLAN - DOMESTIC WATER - FLOOR,1,0,1,121,
P1-102,PLUMBING PLAN - WASTE - FLOOR,PLUMBING,P,1,-,PLANS,PLUMBING PLAN - WASTE - FLOOR,1,0,2,121,
P1-103,PLUMBING PLAN - ROOF,PLUMBING,P,1,-,PLANS,PLUMBING PLAN - ROOF,1,0,3,121,
P1-104,PLUMBING PLAN - RISER,PLUMBING,P,1,-,PLANS,PLUMBING PLAN - RISER,1,0,4,121,
P5-01,DETAILS - PLUMBING,PLUMBING,P,5,-,DETAILS,DETAILS - PLUMBING,,0,1,125,
P5-02,DETAILS - PLUMBING,PLUMBING,P,5,-,DETAILS,DETAILS - PLUMBING,,0,2,125,
E0-01,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS",ELECTRICAL,E,0,-,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS",,,0,1,150,
E0-02,ELECTRICAL DIAGRAM AND CALCULATIONS,ELECTRICAL,E,0,-,"SYMBOL LEGEND, ABBREVIATIONS, GENERAL NOTES, SPECIFICATIONS",ELECTRICAL DIAGRAM AND CALCULATIONS,,0,2,150,
E1-01,ELECTRICAL PLAN - LIGHTING,ELECTRICAL,E,1,-,PLANS,ELECTRICAL PLAN - LIGHTING,,0,1,151,
E1-02,ELECTRICAL PLAN - POWER,ELECTRICAL,E,1,-,PLANS,ELECTRICAL PLAN - POWER,,0,2,151,
E1-03,ELECTRICAL PLAN - POWER - ROOF,ELECTRICAL,E,1,-,PLANS,ELECTRICAL PLAN - POWER - ROOF,,0,3,151,
E1-04,ELECTRICAL PLAN - SITE,ELECTRICAL,E,1,-,PLANS,ELECTRICAL PLAN - SITE,,0,4,151,
E6-01,ELECTRICAL PANEL SCHEDULES,ELECTRICAL,E,6,-,SCHEDULES AND DIAGRAMS,ELECTRICAL PANEL SCHEDULES,,0,1,156,
